THSCode	Time	OPEN	HIGH	LOW	CLOSE
600000.SH	2019-11-25 09:35	12.010000	12.020000	12.010000	12.010000
600016.SH	2019-11-25 09:35	6.100000	6.110000	6.100000	6.110000
600019.SH	2019-11-25 09:35	5.610000	5.640000	5.600000	5.630000
600028.SH	2019-11-25 09:35	4.950000	4.960000	4.950000	4.960000
600029.SH	2019-11-25 09:35	6.540000	6.550000	6.540000	6.540000
600030.SH	2019-11-25 09:35	21.490000	21.490000	21.450000	21.450000
600031.SH	2019-11-25 09:35	14.570000	14.600000	14.560000	14.570000
600036.SH	2019-11-25 09:35	36.380000	36.400000	36.370000	36.400000
600048.SH	2019-11-25 09:35	14.700000	14.710000	14.670000	14.670000
600050.SH	2019-11-25 09:35	5.750000	5.750000	5.730000	5.730000
600104.SH	2019-11-25 09:35	22.600000	22.620000	22.600000	22.620000
600196.SH	2019-11-25 09:35	25.440000	25.440000	25.270000	25.280000
600276.SH	2019-11-25 09:35	88.160000	88.210000	87.800000	87.800000
600309.SH	2019-11-25 09:35	47.440000	47.500000	47.430000	47.490000
600340.SH	2019-11-25 09:35	28.460000	28.560000	28.430000	28.560000
600519.SH	2019-11-25 09:35	1188.990000	1189.970000	1187.360000	1187.360000
600585.SH	2019-11-25 09:35	47.200000	47.290000	47.070000	47.070000
600690.SH	2019-11-25 09:35	17.760000	17.800000	17.760000	17.780000
600703.SH	2019-11-25 09:35	16.140000	16.170000	16.120000	16.120000
600837.SH	2019-11-25 09:35	13.750000	13.800000	13.740000	13.780000
600887.SH	2019-11-25 09:35	28.970000	28.970000	28.900000	28.910000
601066.SH	2019-11-25 09:35	22.420000	22.500000	22.420000	22.450000
601088.SH	2019-11-25 09:35	17.480000	17.610000	17.480000	17.590000
601111.SH	2019-11-25 09:35	8.360000	8.360000	8.350000	8.350000
601138.SH	2019-11-25 09:35	16.750000	16.750000	16.660000	16.660000
601166.SH	2019-11-25 09:35	19.180000	19.220000	19.180000	19.200000
601186.SH	2019-11-25 09:35	9.390000	9.390000	9.370000	9.370000
601211.SH	2019-11-25 09:35	16.580000	16.590000	16.560000	16.560000
601229.SH	2019-11-25 09:35	9.240000	9.250000	9.240000	9.250000
601288.SH	2019-11-25 09:35	3.620000	3.630000	3.620000	3.620000
601318.SH	2019-11-25 09:35	85.050000	85.060000	84.940000	84.950000
601319.SH	2019-11-25 09:35	6.760000	6.770000	6.760000	6.760000
601328.SH	2019-11-25 09:35	5.530000	5.530000	5.520000	5.520000
601336.SH	2019-11-25 09:35	45.570000	45.570000	45.430000	45.430000
601390.SH	2019-11-25 09:35	5.630000	5.630000	5.610000	5.630000
601398.SH	2019-11-25 09:35	5.730000	5.750000	5.730000	5.750000
601601.SH	2019-11-25 09:35	34.460000	34.460000	34.210000	34.390000
601628.SH	2019-11-25 09:35	33.070000	33.070000	32.970000	32.980000
601668.SH	2019-11-25 09:35	5.110000	5.110000	5.100000	5.100000
601688.SH	2019-11-25 09:35	16.950000	16.960000	16.920000	16.920000
601766.SH	2019-11-25 09:35	6.930000	6.930000	6.920000	6.930000
601800.SH	2019-11-25 09:35	8.710000	8.750000	8.700000	8.750000
601818.SH	2019-11-25 09:35	4.190000	4.200000	4.180000	4.200000
601857.SH	2019-11-25 09:35	5.620000	5.630000	5.620000	5.620000
601888.SH	2019-11-25 09:35	84.230000	84.230000	84.150000	84.150000
601939.SH	2019-11-25 09:35	7.160000	7.160000	7.150000	7.150000
601988.SH	2019-11-25 09:35	3.630000	3.630000	3.620000	3.620000
601989.SH	2019-11-25 09:35	5.240000	5.250000	5.240000	5.250000
603259.SH	2019-11-25 09:35	90.290000	90.290000	89.370000	89.840000
